Date,Product,Quantity,Unit_Price,Unit_COGS
2024-01-05,Widget A,45,19.99,7.50
2024-01-08,Widget B,30,34.99,32.00
2024-01-12,Gadget Pro,20,59.99,22.00
2024-01-15,Service Plan,80,9.99,0.80
2024-01-20,Add-on Pack,55,14.99,5.50
2024-01-25,Widget A,38,19.99,7.50
2024-02-03,Widget B,25,34.99,32.00
2024-02-07,Gadget Pro,18,59.99,22.00
2024-02-10,Service Plan,95,9.99,0.80
2024-02-14,Add-on Pack,60,14.99,5.50
2024-02-18,Widget A,50,19.99,7.50
2024-02-22,Widget B,22,34.99,32.00
2024-03-01,Gadget Pro,25,59.99,22.00
2024-03-05,Service Plan,110,9.99,0.80
2024-03-09,Add-on Pack,70,14.99,5.50
2024-03-14,Widget A,55,19.99,7.50
2024-03-18,Widget B,28,34.99,32.00
2024-03-23,Gadget Pro,22,59.99,22.00
2024-04-02,Service Plan,120,9.99,0.80
2024-04-06,Add-on Pack,65,14.99,5.50
2024-04-11,Widget A,60,19.99,7.50
2024-04-15,Widget B,20,34.99,32.00
2024-04-20,Gadget Pro,30,59.99,22.00
2024-04-25,Service Plan,130,9.99,0.80
2024-05-03,Add-on Pack,75,14.99,5.50
2024-05-08,Widget A,65,19.99,7.50
2024-05-12,Widget B,18,34.99,32.00
2024-05-17,Gadget Pro,28,59.99,22.00
2024-05-22,Service Plan,140,9.99,0.80
2024-05-28,Add-on Pack,80,14.99,5.50
2024-06-04,Widget A,70,19.99,7.50
2024-06-09,Widget B,15,34.99,32.00
2024-06-13,Gadget Pro,35,59.99,22.00
2024-06-18,Service Plan,155,9.99,0.80
2024-06-24,Add-on Pack,85,14.99,5.50
2024-07-02,Widget A,75,19.99,7.50
2024-07-07,Widget B,12,34.99,32.00
2024-07-11,Gadget Pro,32,59.99,22.00
2024-07-16,Service Plan,160,9.99,0.80
2024-07-21,Add-on Pack,90,14.99,5.50
2024-08-01,Widget A,80,19.99,7.50
2024-08-06,Widget B,10,34.99,32.00
2024-08-10,Gadget Pro,40,59.99,22.00
2024-08-15,Service Plan,170,9.99,0.80
2024-08-20,Add-on Pack,95,14.99,5.50
2024-09-03,Widget A,72,19.99,7.50
2024-09-08,Widget B,14,34.99,32.00
2024-09-12,Gadget Pro,38,59.99,22.00
2024-09-17,Service Plan,175,9.99,0.80
2024-09-22,Add-on Pack,88,14.99,5.50
2024-10-01,Widget A,68,19.99,7.50
2024-10-05,Widget B,16,34.99,32.00
2024-10-09,Gadget Pro,42,59.99,22.00
2024-10-14,Service Plan,180,9.99,0.80
2024-10-19,Add-on Pack,92,14.99,5.50
2024-11-02,Widget A,82,19.99,7.50
2024-11-07,Widget B,11,34.99,32.00
2024-11-11,Gadget Pro,45,59.99,22.00
2024-11-16,Service Plan,190,9.99,0.80
2024-11-21,Add-on Pack,100,14.99,5.50
2024-12-03,Widget A,90,19.99,7.50
2024-12-07,Widget B,8,34.99,32.00
2024-12-12,Gadget Pro,50,59.99,22.00
2024-12-17,Service Plan,200,9.99,0.80
2024-12-22,Add-on Pack,110,14.99,5.50
